"gen","est","pes","lpie","lbr","esp","dcr","rodtob"
0,159,49,36,68,42,57,40
1,164,62,39,73,44,55,44
0,172,65,38,75,48,58,44
0,167,52,37,73,41.5,58,44
0,164,51,36,71,44.5,54,40
0,161,67,38,71,44,56,42
0,168,48,39,72.5,41,54.5,43
1,181,74,43,74,50,60,47
1,183,74,41,79,47.5,59.5,47
0,158,50,36,68.5,44,57,41
0,156,65,36,68,46,58,41
1,173,64,40,79,48,56.5,47
0,158,43,36,68,43,55,39
1,178,74,42,75,50,59,45
1,181,76,43,83,51,57,43
1,182,91,41,83,53,59,43
1,176,73,42,78,48,58,45
0,162,68,39,72,44,59,42
0,156,52,36,67,36,56,41
0,152,45,34,66,40,55,38
1,181,80,43,76,49,57,46
1,173,69,41,74,48,56,44
0,155,53,36,67,43,56,38
1,189,87,45,82,53,61,52
0,170,70,38,73,45,56,43
1,170,67,40,77,46.5,58,44.5
0,168,56,37.5,70.5,48,60,40
